Year,Month,Sports Name,No of Articles Publised
2015,01,Football,26
2015,01,Soccer,8
2015,01,Basketball,7
2015,01,Olympics,3
2015,01,Baseball,2
2015,01,Golf,2
2015,01,International Sports,1
2015,01,Tennis,1
2015,02,Basketball,8
2015,02,Baseball,6
2015,02,Golf,5
2015,02,Football,5
2015,02,Olympics,4
2015,02,Soccer,3
2015,02,Hockey,2
2015,02,Auto Racing,1
2015,02,Cricket,1
2015,03,Basketball,25
2015,03,Soccer,5
2015,03,Hockey,4
2015,03,Football,3
2015,03,Cycling,3
2015,03,Baseball,2
2015,03,Cricket,2
2015,03,Rugby,1
2015,03,Olympics,1
2015,04,Basketball,18
2015,04,Hockey,10
2015,04,Soccer,9
2015,04,Baseball,9
2015,04,Football,4
2015,04,Rugby,2
2015,04,Olympics,1
2015,04,Auto Racing,1
2015,04,Golf,1
2015,05,Hockey,7
2015,05,Basketball,6
2015,05,Soccer,4
2015,05,Football,4
2015,05,Rugby,1
2015,05,Golf,1
2015,06,Soccer,27
2015,06,Basketball,13
2015,06,Golf,11
2015,06,Hockey,8
2015,06,Olympics,5
2015,06,Baseball,4
2015,06,Auto Racing,3
2015,06,Tennis,3
2015,06,Football,3
2015,06,Cricket,1
2015,07,Baseball,12
2015,07,Soccer,10
2015,07,Tennis,6
2015,07,Olympics,4
2015,07,Cycling,4
2015,07,Basketball,2
2015,07,Rugby,1
2015,07,Football,1
2015,07,Golf,1
2015,07,Auto Racing,1
2015,08,Football,8
2015,08,Olympics,7
2015,08,Soccer,7
2015,08,Baseball,6
2015,08,Tennis,6
2015,08,Cricket,1
2015,08,Basketball,1
2015,08,Auto Racing,1
2015,09,Baseball,16
2015,09,Football,15
2015,09,Soccer,6
2015,09,Rugby,3
2015,09,Tennis,3
2015,09,Cricket,2
2015,09,Olympics,2
2015,09,Auto Racing,2
2015,09,Hockey,1
2015,10,Football,14
2015,10,Baseball,10
2015,10,Soccer,6
2015,10,Basketball,3
2015,10,Rugby,2
2015,10,Olympics,2
2015,10,Hockey,2

2016,01,Football,14
2016,01,Basketball,8
2016,01,Soccer,7
2016,01,Hockey,6
2016,01,Tennis,4
2016,01,Baseball,2
2016,01,Auto Racing,1
2016,01,Olympics,1
2016,02,Basketball,20
2016,02,Soccer,11
2016,02,Football,8
2016,02,Baseball,6
2016,02,Hockey,5
2016,02,Olympics,4
2016,02,Auto Racing,4
2016,02,Rugby,1
2016,02,Tennis,1
2016,03,Basketball,44
2016,03,Soccer,10
2016,03,Baseball,9
2016,03,Olympics,8
2016,03,Tennis,5
2016,03,Hockey,4
2016,03,Football,4
2016,03,Golf,2
2016,03,Cycling,2
2016,03,Rugby,1
2016,03,Auto Racing,1
2016,04,Basketball,23
2016,04,Hockey,15
2016,04,Soccer,9
2016,04,Baseball,8
2016,04,Football,6
2016,04,Rugby,2
2016,04,Olympics,2
2016,04,Golf,2
2016,04,Tennis,2
2016,05,Basketball,18
2016,05,Hockey,14
2016,05,Olympics,11
2016,05,Baseball,9
2016,05,Soccer,7
2016,05,Football,6
2016,05,Horse Racing,3
2016,05,Golf,2
2016,05,Rugby,1
2016,05,Cricket,1
2016,05,Tennis,1
2016,05,Auto Racing,1
2016,06,Olympics,26
2016,06,Basketball,26
2016,06,Baseball,12
2016,06,Soccer,9
2016,06,Hockey,9
2016,06,Football,6
2016,06,Golf,3
2016,06,Auto Racing,3
2016,06,Rugby,2
2016,06,Tennis,2
2016,06,Horse Racing,1
2016,06,Cricket,1
2016,07,Olympics,23
2016,07,Baseball,10
2016,07,Basketball,7
2016,07,Soccer,5
2016,07,Football,5
2016,07,Cycling,2
2016,07,Horse Racing,1
2016,07,Golf,1
2016,07,Tennis,1
2016,08,Olympics,123
2016,08,Football,12
2016,08,Baseball,9
2016,08,Soccer,8
2016,08,Cycling,5
2016,08,Tennis,2
2016,08,Rugby,1
2016,08,Hockey,1
2016,09,Football,14
2016,09,Baseball,10
2016,09,Olympics,4
2016,09,Tennis,4
2016,09,Soccer,3
2016,09,Basketball,3
2016,09,Golf,2
2016,09,Rugby,1
2016,09,Cricket,1
2016,10,Football,10
2016,10,Baseball,9
2016,10,Olympics,6
2016,10,Basketball,6
2016,10,Soccer,4
2016,10,Hockey,4
2016,10,Rugby,1
2016,10,Golf,1
2016,10,Cycling,1
2016,10,Auto Racing,1
2016,11,Football,7
2016,11,Baseball,7
2016,11,Basketball,7
2016,11,Soccer,5
2016,11,Olympics,3
2016,11,Hockey,2
2016,11,Golf,1
2016,11,Auto Racing,1
2016,12,Football,19
2016,12,Soccer,13
2016,12,Basketball,9
2016,12,Olympics,7
2016,12,Auto Racing,4
2016,12,Baseball,3
2016,12,Hockey,2
2016,12,Golf,1

2017,01,Football,13
2017,01,Basketball,10
2017,01,Soccer,5
2017,01,Hockey,5
2017,01,Baseball,2
2017,01,Auto Racing,1
2017,01,Golf,1
2017,01,Tennis,1
2017,02,Soccer,11
2017,02,Basketball,8
2017,02,Football,5
2017,02,Baseball,4
2017,02,Olympics,2
2017,02,Hockey,1
2017,02,Golf,1
2017,02,Tennis,1

